Speaker,Pseudonym,Year,Neighborhood,Gender,YOB,Occupation,Age,SEC,Code,Word,PreSeg,FolSeg,Register,File,Asp,MidPoint,SegStart,SegEnd,SegDur,AspEnd,AspDur,AspStartr,AspEndr,IntermediateV,AgeGroup,n,,AspProp,Chunk,ChunkStart,ChunkEnd,WordsChunk,WordsPerSecond,SyllablesChunk,SyllablesPerSecond,presegv,presegm,asp,aspProp,word_init,post_pausal,mean_aspprop,file,word,preseg,folseg,preword,aspstart,aspend,duration,intensity,cog,sdev,skew,kurt,window_size,window_number,token,mean_cog,YOB_z,SPS_z
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,what,sp,AH1,conversation,EDI_2-1-1,NA,820.09605,819.976,820.216,0.2399,NA,NA,NA,NA,NA,3,74,,NA,73,799.641,828.483,115,3.987240829,105,3.640524235,pause,pause,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.411085171
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,OW,EH,conversation,EDI_2-1-1,NA,824.0575701,824.038,824.077,0.0390537,NA,NA,NA,NA,NA,3,74,,NA,73,799.641,828.483,115,3.987240829,105,3.640524235,voiced,vowel,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.411085171
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,hw,whatever,K,AH,conversation,EDI_2-1-1,asp,827.7253909,827.677,827.774,0.0974175,827.7209313,0.0442492,827.677,827.721,NA,3,74,,0.454222291,73,799.641,828.483,115,3.987240829,105,3.640524235,voiceless,plosive,1,0.454222291,1,0,0.517296591,EDI_2-1-1,whatever,K,AH,NA,827.677,827.721,0.035399331,53.65073715,894.5685094,953.1466283,9.824937545,147.0316725,0.017699666,2,hw,894.5685094,-0.248529528,1.411085171
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,sp,IH1,conversation,EDI_2-1-1,NA,853.11205,853.097,853.127,0.0299,NA,NA,NA,NA,NA,3,74,,NA,79,847.356,867.707,80,3.931010761,72,3.537909685,pause,pause,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.233451189
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,AH,EH,conversation,EDI_2-1-1,NA,853.444535,853.414,853.475,0.0606909,NA,NA,NA,NA,NA,3,74,,NA,79,847.356,867.707,80,3.931010761,72,3.537909685,voiced,vowel,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.233451189
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,spn,IH1,conversation,EDI_2-1-1,NA,863.89705,863.882,863.912,0.0299,NA,NA,NA,NA,NA,3,74,,NA,79,847.356,867.707,80,3.931010761,72,3.537909685,pause,pause,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.233451189
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,IY,EH,conversation,EDI_2-1-1,NA,883.1144649,883.066,883.163,0.0971968,NA,NA,NA,NA,NA,3,74,,NA,81,875.84,889.466,37,2.715397035,43,3.155731689,voiced,vowel,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,0.571870554
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,IY,EH,conversation,EDI_2-1-1,NA,964.4944333,964.436,964.553,0.1174858,NA,NA,NA,NA,NA,3,74,,NA,89,943.37,999.159,208,3.728333542,196,3.513237377,voiced,vowel,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.190741453
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,what,S,AH,conversation,EDI_2-1-1,NA,994.5972245,994.565,994.63,0.0652177,NA,NA,NA,NA,NA,3,74,,NA,89,943.37,999.159,208,3.728333542,196,3.513237377,voiceless,fricative,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.190741453
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,Z,EH,conversation,EDI_2-1-1,NA,1017.289669,1017.252,1017.328,0.075704,NA,NA,NA,NA,NA,3,74,,NA,91,1005.231,1032.123,122,4.536665179,114,4.239178938,voiced,fricative,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,2.447404276
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,whatever,R,AH2,conversation,EDI_2-1-1,NA,1062.84405,1062.814,1062.874,0.0599,NA,NA,NA,NA,NA,3,74,,NA,95,1054.06,1079.57,95,3.724029792,94,3.684829479,voiced,approximant,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.487781087
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,anywhere,IY,EH,conversation,EDI_2-1-1,NA,1065.409599,1065.371,1065.448,0.07622,NA,NA,NA,NA,NA,3,74,,NA,95,1054.06,1079.57,95,3.724029792,94,3.684829479,voiced,vowel,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.487781087
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,NG,IH1,conversation,EDI_2-1-1,NA,1075.29005,1075.26,1075.32,0.0599,NA,NA,NA,NA,NA,3,74,,NA,95,1054.06,1079.57,95,3.724029792,94,3.684829479,voiced,nasal,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.487781087
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,whatever,S,AH,conversation,EDI_2-1-1,NA,1116.533489,1116.494,1116.573,0.078668,NA,NA,NA,NA,NA,3,74,,NA,101,1105.055,1143.359,150,3.9160401,148,3.863826232,voiceless,fricative,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.797638762
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,what,S,AH,conversation,EDI_2-1-1,NA,1138.572404,1138.541,1138.604,0.063182,NA,NA,NA,NA,NA,3,74,,NA,101,1105.055,1143.359,150,3.9160401,148,3.863826232,voiceless,fricative,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.797638762
